,0,1,2,3,4,5
0,20,10,10,10,10,10
1,20,10,20,20,10,20
2,10,20,20,30,20,20
3,10,10,10,10,10,10
4,20,10,20,20,20,20
5,20,10,20,20,10,10
6,30,20,30,30,20,20
7,20,10,20,20,20,20
8,10,10,20,20,10,10
9,20,10,20,30,10,10
10,10,10,20,20,20,20
11,20,10,10,40,10,10
12,10,10,20,10,20,10
13,20,10,10,10,10,10
14,10,10,10,10,10,10
15,20,10,20,10,20,20
16,20,10,20,10,10,10
17,10,10,10,20,10,10
18,20,10,10,20,20,10
19,20,10,20,20,20,10
20,30,10,20,20,20,20
21,10,10,20,20,20,20
22,10,10,10,20,20,10
23,10,10,20,30,20,20
24,10,10,20,10,10,10
25,20,10,10,20,10,10
26,30,10,30,30,20,10
27,20,10,10,30,10,10
