left_imaginal.nii.gz,right_imaginal.nii.gz,left_retrieval.nii.gz,left_manual.nii.gz,right_visual.nii.gz,left_visual.nii.gz,right_retrieval.nii.gz,right_manual.nii.gz
6615.541670248066,6752.999152295877,6229.680762062751,6266.931196663129,6755.5710722817985,6200.257322587459,6241.138923111797,6587.105829895362
6614.641567994019,6750.165445042501,6236.887719285076,6260.095304222617,6766.2055589780775,6188.60844633428,6244.154898104181,6587.321535195707
6616.992343691353,6750.815000664403,6237.0736026097775,6232.099900356898,6748.3549002884965,6197.574387964518,6228.332896807697,6552.318284886494
6612.06338213445,6728.466300741612,6251.124245631144,6240.855104033585,6738.365298496575,6177.8512455337495,6238.535400692297,6548.606541991714
6608.036930321262,6735.4482529264205,6251.930106407889,6258.009234400242,6787.8424599446425,6203.93062610694,6233.862224265082,6552.467461823496
6628.725206128887,6745.613951681349,6244.827964711474,6270.430327827861,6782.455902630295,6189.452479127078,6242.921192539132,6572.373726388277
6614.054958795444,6737.611405318396,6251.737324892729,6266.796102087214,6775.6477561286265,6205.373497285511,6253.241172477633,6573.083472534497
6619.187708417468,6737.05511687063,6232.083054849462,6265.391701156066,6750.288931296604,6192.279617750962,6246.712366650916,6560.809235403656
6614.557933700758,6727.686719697007,6248.697807774058,6268.744463279087,6755.994343345569,6173.860017501964,6252.634875371676,6565.298721587716
6601.233086318758,6735.42467179904,6224.963570859058,6231.679533542403,6759.2120188315475,6201.71729020435,6233.931842677414,6541.645596839996
6585.472947882315,6722.744151841273,6194.090221559087,6213.341014378462,6729.923012036622,6162.116056489041,6240.593196019648,6546.918045082753
6593.801624053066,6735.322790790772,6194.207656619381,6216.719219799864,6718.942781644677,6182.936882973754,6235.3731540604,6541.793523827213
6575.141009663939,6725.601300310909,6179.168967243046,6221.756680167809,6732.6549369832355,6145.949145545166,6215.772021078795,6544.566997773997
6584.775351611621,6718.862942005325,6220.343735676617,6225.423190933972,6718.815893509807,6183.956939122963,6229.455585073938,6538.41952126937
6605.062904389193,6716.030784506506,6214.064824184914,6250.739251141233,6768.811896913298,6177.771170108785,6237.210880049606,6556.968031609839
6599.828797885729,6721.048920543611,6230.303434680269,6251.557381645429,6718.113636763995,6169.443379008426,6236.023659485424,6567.075406697673
6611.654483445537,6737.318587574874,6239.905444228451,6269.587312221623,6756.936715319051,6199.654293570594,6239.386942589108,6586.424463613246
6595.115640631451,6726.3364925893175,6243.614470419766,6285.681701587113,6778.338096272914,6199.133140622775,6246.109221598697,6571.935107712738
6619.6034389533415,6747.632973948122,6260.894792437802,6270.985994072672,6759.510136971005,6215.820126235021,6256.527043919028,6586.085285186258
6611.870847397026,6736.853547044019,6247.89960340273,6257.9574088293075,6750.307742580303,6201.42674874945,6240.489942676546,6575.086791676357
6598.344844378441,6724.712586188855,6224.158569431996,6251.87796941906,6725.524740708916,6166.605597952434,6227.47971424957,6568.568582869025
6599.21368651378,6723.018661422924,6238.128930498103,6275.946457569237,6730.408220187086,6163.14737115133,6236.258006875483,6561.918410210925
6590.325217408686,6723.541041047631,6238.292244901645,6262.234187150095,6746.111037254553,6169.018452060111,6229.997732484427,6571.505195906114
6593.4840974652425,6725.045316624776,6229.1068595867155,6248.027891836362,6741.15035136263,6179.850264480673,6230.706818015523,6563.788031897202
6594.038149776311,6712.9553475071725,6245.026910319566,6255.39183654875,6759.947750753765,6169.5392107341895,6232.8931568624885,6567.250536622337
6597.739983728192,6721.5577850317295,6223.970304377274,6266.820595708751,6742.055440853565,6184.373368402278,6211.955310086049,6557.221140956811
6609.595153083819,6731.383799695672,6234.917044364092,6260.456032021715,6726.518493803765,6178.776236037293,6242.5716771338975,6557.24412061341
6598.139808804228,6731.433671258775,6240.9323675914275,6270.238993235337,6732.912309207611,6186.4060393260315,6223.709574666355,6563.516198315065
6604.207522793343,6728.108892104099,6229.169786490225,6259.300924906041,6729.981682853182,6158.918808101806,6243.602535718447,6559.360263090255
6600.345760004865,6728.97810252307,6221.206897395286,6272.238328424799,6732.646376654202,6188.148702770015,6231.236755621531,6564.787908735166
6600.1457999141485,6716.00368838639,6234.4381264029935,6281.751175464437,6742.597990569628,6192.024684407077,6223.444413742887,6570.559741453667
6600.239783768284,6743.885224828684,6213.374080771662,6278.630457622687,6765.29254759133,6177.886723564625,6233.366767700184,6582.7422679647425
6617.889047230032,6750.5324356431765,6214.143209603407,6260.756722567498,6743.941126910361,6216.738908207586,6238.486486703413,6563.719638165194
6594.701261267595,6737.545736429679,6201.1716049076085,6252.224695799622,6739.612958675973,6174.354607176474,6240.673560592272,6576.985709387677
6600.4632241040445,6743.001549400392,6204.206756810061,6245.970839736666,6715.530555779499,6170.601140862017,6243.111862479217,6576.180456786328
6599.245314118265,6749.265105208787,6201.701942101565,6235.747202542298,6756.187645146672,6191.187331597967,6243.592991066682,6564.2719763335235
6605.717853875944,6745.651391584637,6220.197696957292,6245.7855235283105,6719.984452537023,6171.1229402663585,6243.692223887483,6570.240889045626
6621.760544096819,6772.155324280822,6227.977959611656,6248.455962491301,6731.137519287531,6235.3059439257895,6238.334228030831,6571.1978921336195
6619.81322475213,6773.242746567158,6220.730064492015,6255.59897765606,6776.485776874472,6234.778204729182,6245.2872413592695,6567.386129281279
6634.61124462025,6784.546097564729,6247.853124995421,6268.056421700407,6755.237906843559,6241.047249611801,6250.660838823734,6583.263792248528
6631.50996743469,6779.415095407153,6252.936427195382,6298.576399894152,6805.370508059544,6218.757889643525,6262.984189446298,6573.542215565514
6633.034601309694,6776.102982740744,6223.769415672347,6268.455559115311,6753.338761548303,6218.5447729536845,6249.843609182762,6590.750919246674
6613.341369450743,6761.131141930178,6222.467796587116,6274.96623209167,6770.9730616018505,6196.364980946597,6236.367457960444,6594.860823883575
6607.968071433328,6742.437870667698,6224.052753342479,6262.614051416899,6745.358843188473,6174.644963250374,6230.018208740693,6580.706784341816
6620.283847662733,6768.301448995631,6229.6315513625395,6258.451800098016,6721.62660557771,6166.365516556088,6228.859508469905,6570.892514459888
6591.477776499521,6743.964018848588,6236.627379993656,6256.948906279809,6752.288433858926,6163.233878922236,6244.552686345582,6570.156571630407
6600.021117187003,6741.093270929254,6232.879450701605,6256.454174338628,6728.802363238052,6191.603286071389,6242.886500629903,6557.633034002045
6585.425127172008,6736.47375443621,6234.584922821039,6277.898111099667,6755.932403322811,6144.195753061315,6228.793018144214,6580.4358859301765
6594.502353982132,6723.316857555496,6226.587676207549,6288.91860452558,6768.6770820290385,6191.131269858716,6229.146569946426,6575.739419480487
6593.981960899411,6732.304034554406,6237.206798047803,6288.610955720659,6750.293619433766,6181.317503707064,6229.571176551943,6587.06759271516
6585.560068106156,6712.297797142935,6228.169975492261,6286.36826893142,6756.682001397086,6185.061986329433,6245.931189318416,6571.07200745068
6596.257857247975,6723.012647234571,6221.554217924389,6261.290046874568,6755.671996296057,6186.453466567946,6236.297013280493,6561.09702327942
6589.051699018379,6732.634983277945,6221.916360586228,6288.845664513686,6739.932210358892,6158.037067149271,6247.971550977297,6588.395063664175
