left_imaginal.nii.gz,right_imaginal.nii.gz,left_retrieval.nii.gz,left_manual.nii.gz,right_visual.nii.gz,left_visual.nii.gz,right_retrieval.nii.gz,right_manual.nii.gz
7069.281547089347,6805.3153176046835,6247.806093668213,6537.493222428843,7014.895597259667,6745.54138736638,6508.131291352428,6980.294053253788
7072.435187796804,6794.649591287735,6290.982708525824,6533.543694498825,7013.320256345708,6716.655849668779,6451.597661551629,6983.497198707059
7072.245259777893,6791.668964361833,6284.272328457646,6514.067789650845,7007.250891480995,6704.7027982999125,6400.697225413266,6959.1408898165255
7062.014960132914,6786.145051543393,6275.946702363717,6515.692609733788,7006.826618871701,6692.586832699057,6436.530408789391,6954.44456164897
7052.324677660441,6774.963408541418,6249.964392314959,6531.532572793282,7011.857368336408,6707.252005926694,6426.547634696484,6963.817439612083
7063.531553571725,6783.1807934629405,6272.281408723716,6517.2533200178295,6996.383439601531,6682.44309416186,6427.982438768695,6950.117510212096
7041.918085859414,6769.353024895388,6306.821697639832,6514.810204901387,7016.603257018017,6669.237488347038,6410.430115189069,6946.312118436998
7049.0883859614005,6776.628443023153,6238.583194287981,6496.051848147587,6987.581315315365,6690.8751623977205,6485.088290810017,6951.223063897494
7059.645550042659,6780.921801930139,6307.301307697726,6496.720053015925,7007.157294873251,6691.082314547096,6441.2026559186825,6942.874657083087
7069.006477594344,6776.024402189451,6277.820866214294,6531.917753787129,7047.079135743787,6706.648512245573,6483.02686880722,6955.736261048372
7070.887405158415,6777.339748084905,6285.34283112052,6517.955600600174,7016.133039141121,6702.434558842089,6479.195606929209,6941.362832251569
7028.473350505338,6763.860440827554,6258.723276170003,6510.610786742767,7010.740752004206,6695.641876629575,6480.347071384489,6935.940173439203
7031.234133053066,6758.582876404591,6263.8977421592635,6492.625638135093,6996.911296351941,6630.020881267252,6446.977881063155,6946.902810719824
7039.505482079709,6779.41318534977,6237.65856966845,6498.655071294116,6997.556378844788,6680.670464658396,6456.991040451887,6945.763138970589
7053.061778262012,6766.247281620867,6277.841431317357,6516.439776213937,7034.186164961489,6684.780557605266,6442.989909697353,6957.656739459364
7045.34299992539,6794.217263666066,6242.823102896164,6519.946747227712,7050.277032578986,6682.8450922667125,6503.7347981643115,6954.031926925423
7048.628022460554,6745.76619423617,6310.767197709011,6508.978704717663,7051.366536444053,6677.446394898652,6412.785537131593,6964.946835671392
7035.141212891319,6752.653110712245,6304.273171976967,6511.112848547042,7000.195802433807,6694.270882321937,6452.8712536737385,6920.769211798507
7057.406693378912,6766.790499904495,6290.204050710402,6502.339293491165,7016.726162028754,6679.560368170398,6383.822949418569,6955.295998972251
7089.828229711686,6766.740442340847,6316.6514068503475,6477.4140848889665,7046.251353774858,6678.116389586873,6273.527923751261,6967.817398124028
7101.694386744208,6787.14502580755,6291.401207749705,6519.76054948821,7062.195811153964,6701.613316993887,6396.840219884638,7004.766332471003
7123.338130678721,6792.96333306472,6286.376826782869,6505.373602956135,7028.222482896678,6672.571001688713,6330.5731915603465,7004.000981106063
7092.698149518599,6767.1019718849775,6250.158838479785,6482.514641209947,7004.794066294962,6646.996484310621,6377.179756518483,6980.144222008638
7057.06522085667,6750.739755477861,6266.194111148836,6496.288914822447,7025.131490536282,6675.01911875771,6355.686994150202,6989.663883137513
7056.694394731669,6772.66218239024,6250.597318748787,6473.407533458548,7039.663280119059,6649.040853399516,6405.02315715503,6979.687807844926
7070.339615518876,6770.593863202681,6297.380222141331,6482.137934291157,7023.003085987676,6685.41045504275,6331.95047607928,6977.511642691092
7081.61601887623,6785.141344663058,6263.889615191689,6490.312686843349,7042.544417517125,6696.044575273282,6413.011996906777,6963.203368775638
7086.685987578671,6788.550402373477,6326.715496892112,6495.440667202505,7018.580664941888,6691.982685429226,6365.99567812027,6963.778623453927
7094.745232503878,6811.129733594326,6289.771299198464,6487.122107404596,7045.889156777895,6689.691714162028,6424.263123995135,6973.93447592089
7113.6869420676485,6827.1960433795275,6263.434613049629,6492.025803237688,7042.7146968543,6685.789872140079,6392.991484933603,6975.187920020456
7083.253730980148,6811.143797304044,6285.437966810114,6507.916611788793,7061.603356564928,6696.467569132909,6465.381093066127,6989.702416373147
7096.178729224666,6818.04447669825,6261.8036864835385,6519.634474359402,7048.069342580113,6696.342581844334,6474.2208969411395,6991.426485108154
7086.186240891037,6805.981949312448,6265.400807365515,6506.08738808034,7039.037487251955,6711.902599368044,6407.0626564752465,6969.8495723608485
7114.015068161466,6798.711942453961,6250.626847643506,6508.300402686881,7023.909421520023,6701.493038803524,6366.252241852849,6988.876027343668
7111.788527999838,6804.679952672382,6305.455836190588,6495.686997407666,7014.245924568855,6689.491528860676,6380.339160803342,7000.948705126016
7104.990574525471,6774.4447147788815,6296.037779925838,6487.696686543195,6988.495767605893,6684.291210138826,6346.216643354104,6989.728425232663
7095.892419512021,6762.107719901122,6286.672145121822,6473.519794223437,7008.015146750267,6683.840246209159,6375.646030146687,6963.571049399479
7077.534920060794,6772.1544628625425,6315.437452607093,6475.557639440999,6993.976628472399,6663.260340987016,6337.257877401167,6974.8878695561325
7056.918290662307,6756.0559547074545,6286.1826675892635,6478.439132140515,7002.651137678713,6680.254700232652,6434.797561905186,6943.564367167082
7068.965611276103,6755.549104134191,6354.859051439034,6496.29405482897,7001.19134029277,6699.933781793167,6330.225984698203,6944.313639459321
7059.889159663131,6774.437542914423,6333.400543987836,6496.322972704565,7034.705978161167,6689.671256672733,6386.363981435085,6947.129337181164
7078.157732322273,6807.1698503436955,6265.398962657588,6550.541349749236,7066.722084115936,6748.922830476033,6483.87393802292,7000.445259161127
7153.278209980295,6855.131591058113,6289.918540384323,6524.414086506613,7118.6819037428395,6753.504583006327,6394.791579163748,7010.459387427011
7095.548084940493,6823.904916713614,6294.573904643641,6560.562508581012,7115.893858437703,6742.246706907675,6484.913363102208,7024.363013366733
7103.51481511936,6825.684404349933,6251.4724204274735,6526.117943107974,7037.9292852352655,6725.6859714553875,6447.604217779753,6993.905482958062
7060.054495171915,6779.877134047611,6275.711888462027,6496.929520729277,7032.68946213526,6702.670961640711,6407.983140048824,6954.799988679264
7084.608966952928,6795.124966367461,6246.111278073038,6489.450659675991,7075.1169362047185,6704.643128866646,6435.0351168656325,6972.259727011626
7065.725723079176,6778.84904274823,6292.340681255584,6490.66618687329,7024.417614123588,6708.208493934742,6425.182243042656,6973.696968042054
7079.944670587001,6782.48054102949,6259.84665936867,6461.701554496498,6998.367276554811,6686.718352212556,6393.399744832936,6976.218562123632
7091.870998028994,6791.62960120648,6270.848378777271,6478.5879340678,7047.758696723597,6723.913395786973,6417.262855524169,6950.13632214346
7069.032247872211,6758.713406196948,6311.18599555752,6538.609535128898,7064.598743202865,6653.876667082951,6412.46760100441,6951.615065313236
7029.621711697214,6747.852673123869,6302.420095738292,6530.544372576636,7074.88969689846,6699.206464623373,6370.881917712228,6981.275508021617
7074.738923709267,6763.617278186058,6265.399340243441,6527.974574099065,7091.528636454856,6704.205344129157,6385.604157818268,6984.878174118852
7062.403182870409,6771.677850459251,6241.257617828619,6525.72266898391,7073.534494815107,6708.2709337196475,6496.202826870949,7000.713926715453
7034.331120153903,6752.599532150573,6297.700875336951,6518.769713206703,7030.541012221659,6671.1446804224925,6401.622901653599,6974.628046338576
7094.157896511456,6784.211993841312,6264.410015021608,6493.474800582336,7051.927271184011,6624.435812882747,6384.734164539187,6947.629451786316
7100.722172907479,6790.806325774623,6244.91652256301,6520.226165199418,7037.546545732385,6682.430357732014,6405.43406806523,6983.1303668582905
7034.398600951604,6754.311125234571,6243.859575100727,6517.3007026061605,7031.82909977017,6647.922723059432,6445.967440167232,6952.653120388906
7043.430067852273,6740.524870581857,6266.501194582194,6480.451203014872,7020.378875812947,6630.62930248147,6367.597359133971,6945.497503783775
7008.5861921689275,6702.775102135776,6254.973273193823,6501.2775842301535,7020.187829760508,6646.700349537806,6423.121094053694,6936.906832181335
7025.309632908282,6688.8881967735215,6252.7412976156165,6471.649261064162,7009.081419232737,6671.426536389372,6343.797187230235,6901.701000185864
7017.649604410172,6702.251065300545,6261.934692190558,6472.576109661141,6986.333303357932,6641.53410992127,6337.638190347183,6906.892214019336
7002.705883762933,6725.58262648898,6187.740135639686,6483.561047606707,6995.005039565728,6652.5105965857865,6455.885100539788,6925.383781858288
7047.617702365696,6738.403879206188,6236.385801275366,6492.1354436886195,7024.440336584369,6674.861046444889,6425.7632826081535,6946.5742060643
7043.464350220695,6749.93753521197,6293.703928674241,6539.610858413094,7064.74725299138,6695.585690134045,6479.940914651829,6973.4143923751835
7059.00417797031,6760.489406577424,6302.027579160091,6535.0582666078935,7060.02862607574,6716.425922467842,6442.451765184629,6957.753358137807
7038.636893466013,6765.122231923289,6287.439957604478,6512.018023460896,7058.174358954919,6695.912447255093,6465.461896498523,6940.761629361144
7041.303389911426,6772.252586595762,6326.797568514221,6525.336449620205,7004.676310197986,6699.028102877743,6425.404099791001,6947.682518814194
7044.849230169662,6768.630418651298,6314.176386335583,6522.064488738911,7040.727905004297,6679.166408412493,6429.730242736336,6950.006436930119
7051.891877305068,6771.384357482743,6302.1869644285725,6537.638419878406,7064.9125785524975,6717.024264409916,6442.45648196705,6961.325574225489
7082.020387545133,6793.489084972937,6314.579338625481,6537.850739007518,7066.150639052588,6712.621271391391,6419.551885213274,6962.808988791169
7100.910196097198,6822.875790169764,6303.76621633039,6558.890914359701,7106.932975868972,6708.199878313691,6434.387845599185,6959.831581540741
7096.334332724237,6820.907614366666,6350.913976364904,6571.036717098424,7096.651414455689,6728.503196726339,6419.195042013262,6967.256993490974
7108.064452462508,6811.490228955115,6312.614744764799,6546.453844757494,7084.934074522493,6742.648171852055,6429.89741631365,6969.675551408774
7096.641470302414,6786.653154110309,6277.698927282006,6521.852176457311,7053.484372371358,6693.225327916287,6470.926969691938,6979.962772782226
7096.138854166457,6775.257656779133,6336.214185101897,6502.801648162498,7051.946667588985,6700.55578361469,6357.640678799351,6959.531875875976
7063.189399443868,6767.313724842309,6328.721700783108,6515.532377786816,7037.858437796645,6685.599409631911,6416.501991629649,6961.325502312608
7068.539274302387,6772.747302993729,6340.124071079626,6535.614033687291,7080.596293024849,6697.823529418915,6409.814673021431,6967.306777945037
7062.324447719832,6767.647353926556,6317.841784006271,6542.336129631947,7038.818566749068,6702.320319577279,6417.654793104882,6959.554500611826
7059.282643685838,6784.392591512014,6282.142867059551,6518.578157562827,7070.329340963043,6706.073591388501,6464.2749956707075,6946.846722997707
7018.44133385617,6748.803416901757,6259.749910335666,6496.2567912647755,7011.260268299697,6669.879708931372,6480.115187639792,6910.791190702319
7007.171790259305,6695.7662427145115,6246.859079017643,6496.311045421232,7036.286824334893,6672.846976621435,6352.919760132518,6926.890363728142
7056.443750794415,6723.6525851064,6148.171689103966,6496.733426169552,7035.784494194946,6672.8738028411935,6357.543306354762,6924.228374449082
7050.52343109544,6732.754470523761,6226.688535663975,6503.8395051999005,7019.424474636477,6684.552268994351,6452.268833691135,6947.89238931729
7064.74849731727,6751.4067388159065,6324.126054707397,6545.287623418422,7044.98752120149,6700.143967968032,6359.092078862038,6961.174453800863
7062.231538305123,6753.334252440865,6283.71482062216,6529.285710193366,7053.837346311867,6721.84102954879,6444.243957337752,6963.737807123596
7074.806714832607,6761.6528710348075,6281.362456093546,6490.916427634989,7006.937327919608,6714.58918406764,6485.5822940745165,6942.992865799952
