manual,goal,imaginal,visual,procedual,retrieval
147,124,101,105,1,139
111,109,105,77,97,114
138,137,126,127,113,142
100,128,130,105,104,107
132,110,129,55,133,127
140,145,122,120,138,127
113,124,102,128,67,116
100,123,135,119,124,115
113,132,123,130,144,122
118,105,129,135,129,141
125,141,135,79,54,148
135,83,94,132,143,142
60,104,102,126,135,88
147,139,145,136,142,118
137,113,104,118,109,116
76,120,100,121,143,126
110,89,103,114,102,103
1,135,104,126,134,93
101,101,110,119,143,142
46,129,101,82,40,120
133,112,141,77,91,137
119,117,112,102,117,146
111,109,147,126,128,101
142,128,127,118,149,112
140,86,103,132,136,116
107,127,108,126,131,114
114,115,88,137,108,124
120,85,127,149,147,129
