left_imaginal,right_imaginal,left_retrieval,left_manual,right_visual,left_visual,right_retrieval,right_manual
6615.541670248068,6752.999152295877,-6229.6807620627515,-6266.931196663128,6755.571072281798,6200.2573225874585,6241.138923111797,6587.105829895362
6614.641567994022,6750.165445042504,-6236.887719285077,-6260.095304222618,6766.205558978078,6188.608446334281,6244.154898104181,6587.321535195705
6616.992343691354,6750.815000664402,-6237.0736026097775,-6232.099900356896,6748.354900288498,6197.574387964517,6228.332896807697,6552.318284886494
6612.063382134453,6728.466300741614,-6251.124245631143,-6240.855104033583,6738.365298496575,6177.8512455337495,6238.535400692296,6548.606541991711
6608.036930321264,6735.4482529264205,-6251.930106407889,-6258.009234400242,6787.84245994464,6203.93062610694,6233.862224265081,6552.467461823494
6628.725206128886,6745.613951681349,-6244.827964711473,-6270.430327827861,6782.455902630294,6189.452479127077,6242.921192539131,6572.373726388276
6614.054958795447,6737.611405318395,-6251.737324892728,-6266.796102087214,6775.647756128626,6205.373497285511,6253.241172477632,6573.083472534496
6619.187708417469,6737.055116870631,-6232.08305484946,-6265.391701156064,6750.288931296604,6192.279617750963,6246.712366650916,6560.809235403655
6614.557933700759,6727.686719697005,-6248.697807774057,-6268.744463279087,6755.994343345568,6173.860017501963,6252.634875371676,6565.298721587716
6601.233086318758,6735.424671799042,-6224.963570859057,-6231.679533542402,6759.212018831548,6201.71729020435,6233.931842677413,6541.645596839996
6585.472947882317,6722.744151841273,-6194.090221559087,-6213.34101437846,6729.923012036623,6162.116056489041,6240.5931960196485,6546.918045082751
6593.801624053071,6735.322790790772,-6194.20765661938,-6216.719219799863,6718.942781644677,6182.936882973754,6235.373154060398,6541.793523827212
6575.141009663941,6725.601300310908,-6179.168967243046,-6221.756680167808,6732.654936983235,6145.949145545165,6215.772021078794,6544.566997773998
6584.775351611621,6718.8629420053285,-6220.343735676617,-6225.423190933972,6718.815893509807,6183.956939122963,6229.455585073938,6538.419521269369
6605.062904389195,6716.030784506508,-6214.064824184914,-6250.739251141231,6768.811896913298,6177.771170108785,6237.210880049606,6556.968031609838
6599.828797885732,6721.048920543611,-6230.303434680268,-6251.557381645427,6718.113636763995,6169.443379008426,6236.023659485424,6567.075406697673
6611.654483445539,6737.318587574874,-6239.905444228451,-6269.587312221622,6756.93671531905,6199.654293570593,6239.386942589107,6586.424463613244
6595.115640631454,6726.336492589319,-6243.614470419764,-6285.681701587112,6778.338096272913,6199.133140622774,6246.109221598697,6571.935107712737
6619.603438953344,6747.6329739481225,-6260.894792437801,-6270.985994072672,6759.510136971002,6215.820126235022,6256.527043919028,6586.085285186257
6611.870847397028,6736.853547044019,-6247.899603402727,-6257.9574088293075,6750.307742580303,6201.426748749449,6240.489942676545,6575.086791676357
6598.344844378441,6724.712586188857,-6224.158569431995,-6251.87796941906,6725.524740708917,6166.605597952435,6227.479714249569,6568.568582869025
6599.213686513781,6723.018661422924,-6238.128930498102,-6275.946457569237,6730.408220187087,6163.147371151329,6236.258006875484,6561.918410210925
6590.325217408686,6723.541041047632,-6238.292244901644,-6262.234187150096,6746.111037254553,6169.018452060111,6229.997732484427,6571.505195906113
6593.484097465244,6725.045316624776,-6229.1068595867155,-6248.027891836361,6741.15035136263,6179.850264480674,6230.706818015522,6563.788031897202
6594.038149776312,6712.955347507172,-6245.026910319564,-6255.39183654875,6759.947750753764,6169.5392107341895,6232.893156862488,6567.250536622338
6597.739983728193,6721.557785031728,-6223.970304377275,-6266.820595708749,6742.055440853565,6184.373368402278,6211.9553100860485,6557.22114095681
