left_manual,right_retrieval,right_imaginal,left_visual,left_imaginal,right_manual,left_retrieval,right_visual
7246.817893293619,6846.642801189717,-7374.846268062055,7012.257305399097,7184.84321812856,7422.392012586808,6815.9781981679735,7153.417585354078
7225.596988109903,6836.727161960252,-7371.808762536671,7036.246164981948,7167.803896470244,7407.707745901793,6808.545377936452,7195.055461022411
7202.32283388504,6849.021063951563,-7387.1218028602825,7054.370762526949,7149.599068465133,7391.7323194953815,6794.05600530898,7225.234521736154
7193.795965423064,6846.523132339274,-7397.410876962538,7069.029750592673,7168.634632212009,7388.881255929213,6822.876296233195,7245.635087676038
7202.220260081547,6850.801495331762,-7387.29724377202,7022.295087827347,7150.015654581436,7362.560359786265,6815.136740558872,7236.443493133202
7208.647537695866,6817.486784584506,-7393.611763586129,7026.549472941363,7145.784360081564,7375.505968210969,6793.474491928989,7198.719696763933
7188.83853056863,6801.311267263579,-7377.364156268735,6997.767253605709,7133.58121748586,7362.176586928723,6764.41481692653,7152.510938364075
7189.509154234846,6817.812711459816,-7377.389167739223,7019.666784914799,7155.500895850573,7354.231062613583,6797.316082254026,7150.890765149661
7171.520468241953,6815.784894073949,-7369.860798249473,7001.527432739147,7164.532511093773,7366.646423241907,6808.417748686738,7172.0834590582435
7167.347592062682,6813.202043224585,-7362.01553840613,6999.1161053863,7140.1532106426,7387.803305980499,6786.990220876736,7164.07240336775
7157.194994945325,6781.964015376345,-7342.938413537054,6993.40379542685,7109.99349262573,7354.7492171808635,6782.001587777395,7153.449418993584
7177.861526407252,6809.94980244181,-7373.149647331337,7001.796178746911,7139.1491668367025,7367.989924783367,6784.496260448213,7151.271195872742
7162.007728418767,6805.800561972858,-7356.743294859995,6997.020538502492,7134.453119625649,7353.522655446221,6748.493488382032,7163.601806633917
7158.838563715366,6797.63728913084,-7347.3268838647,7006.854443185005,7125.63174749666,7354.7641325616705,6753.641612894667,7175.900961069965
7154.758541516333,6769.928567541088,-7349.495924083213,6983.802650201082,7120.454015685117,7363.43529626523,6751.717431834093,7156.668007051578
7168.382426889699,6803.8689402906575,-7359.660665606553,6975.7383704614695,7136.02538015467,7367.381888664813,6758.824564049075,7151.525547081179
7146.258889357542,6803.7512789644825,-7372.282189451631,6981.9027938072,7130.530914029009,7348.368219609391,6776.3783575321795,7129.645898452744
7175.579337772676,6781.8362997961585,-7357.436565669054,6995.61211044249,7122.885371341379,7354.272967575611,6749.767732046396,7156.88619533952
7135.551435151138,6787.986162062532,-7353.33304380624,6992.233889554522,7127.6740575587455,7343.6647871615205,6752.351617313508,7137.124022611184
7157.630354929256,6802.552751945587,-7361.295254822372,6972.572446396035,7122.823572024699,7342.056575092282,6772.913052203273,7119.825599052302
7128.069565008414,6784.514087789503,-7344.531085251706,6974.437823962777,7119.9467044112025,7323.420754838403,6775.231677323509,7120.437385758202
7154.636689735877,6797.492437842731,-7343.236385514776,6990.115284399555,7109.010006082534,7349.134869238036,6758.125436916294,7133.48650661611
7163.950399064541,6803.789150577419,-7351.595404520355,6973.562962747862,7118.704291682858,7349.664737667152,6755.273118374174,7145.024267826374
7170.232555966326,6831.70237181637,-7348.605896389195,6976.876263743905,7121.324622473005,7347.763859335482,6747.312075905953,7142.142908041303
7187.814041307244,6797.617092861142,-7363.191032444807,7007.586471169545,7128.8308984770865,7380.12235471494,6757.8745600916545,7193.9219663056565
7154.105414241128,6797.640731574233,-7352.228589297312,6979.280706522472,7131.657710192428,7344.922197313036,6753.985963871109,7152.409430022841
7152.1485988720215,6783.821673449218,-7350.505720575219,7016.268445054377,7119.844310276635,7351.58115122541,6733.896714320477,7168.343009502539
7138.645456376538,6788.867575937306,-7339.722311215555,6969.243300381172,7115.340388753255,7333.059304825852,6740.266746651746,7117.748769206022
7142.13893226716,6777.062869794458,-7350.283249288982,6966.441394754634,7135.78213921937,7372.680074215369,6748.749521730773,7129.3105469760585
7123.804264455386,6772.845346328126,-7357.830399416289,6985.48874431981,7144.80030479677,7365.542186496561,6745.597791819374,7141.440186922811
7116.962570515639,6797.888021522022,-7348.379610203648,6967.033680573462,7121.861594357922,7342.5522074118135,6753.280642480392,7127.505283070213
7110.123169907751,6789.396172112683,-7340.472256557889,6993.146251383977,7118.082212301316,7357.818785926761,6760.341060725294,7095.365090163543
7142.352643167716,6798.119198523553,-7354.20819598087,7014.688483143093,7120.104412627828,7358.604671964929,6744.034641105345,7140.020675864656
7161.7225069823735,6793.592331924983,-7361.288836937062,7028.0839935693675,7137.198352103177,7371.463322526384,6801.221583599658,7154.808767607191
7155.860329250236,6793.21933634518,-7361.599952472797,7016.627247669743,7151.363373663711,7368.199461376904,6799.984475914462,7178.647031836762
7169.597186062967,6806.908317490285,-7364.704701814656,7044.811669035882,7125.404451895879,7369.540546263163,6801.616748271729,7199.215698006983
7141.119653560874,6780.760225535534,-7355.733761843274,7000.600300684086,7123.622071605273,7358.560618518977,6777.458117753744,7150.842445496406
7158.438078235459,6791.103626435257,-7348.118912477275,6989.252451602033,7124.425855873185,7350.5349359263055,6777.833357247646,7146.354223315922
7147.456863080529,6791.152133764856,-7353.230662061535,6997.5788972237715,7126.158264341248,7344.7624259033855,6788.453772554487,7158.078251354332
7155.920986302168,6809.055780518952,-7353.105653735469,6976.748198777743,7121.5735460161895,7351.193027956806,6776.280839390545,7134.8248233951645
7173.632507790816,6827.117178187021,-7366.041367493039,7000.140667181924,7143.3305546672655,7366.552093094299,6777.99060691839,7165.209959028777
7154.432437428123,6823.955876857118,-7353.776530649666,6980.534534459084,7133.102480423344,7345.856237964615,6790.310288205578,7150.860284593485
7166.821952882862,6828.580676834849,-7378.342156265695,7015.9950139199855,7143.011200033291,7362.116016585829,6781.365634567135,7146.993302636637
7140.507938567206,6832.522612987912,-7379.481632980555,7011.9234174809435,7140.578348688601,7349.501214392403,6795.361418840512,7182.598496745243
7128.042488695685,6833.411442624824,-7379.4666788948,7026.831550818455,7150.509780666601,7362.780707632903,6795.678612676976,7176.664659702626
7124.050380023293,6795.9665097560655,-7364.789286495607,7001.1606128708845,7131.014114491323,7344.362329020002,6786.2901968731985,7177.876473279965
7133.238916182762,6807.5798916773065,-7366.722057441078,7000.007002293055,7135.71835264073,7374.596863003606,6802.058893484686,7172.388080523647
7136.784054365899,6813.248253370397,-7351.914327928603,7003.36327605293,7138.79826248473,7363.725040874994,6775.031370571317,7129.343464909908
7167.84122823316,6827.498987062407,-7360.185700804343,7028.775862628469,7149.6635654805405,7371.560134923836,6799.514144351415,7155.11629412995
7178.0256606705325,6799.51613812431,-7374.908437427576,6999.187410805578,7145.4907011143705,7370.977930653895,6753.074655907836,7155.276186378907
7183.400242975909,6829.6783264022715,-7375.420024207185,7030.311840802214,7160.343769610201,7384.357777937395,6808.431124939886,7167.902787952453
7164.377839211641,6800.085609671297,-7381.587206613128,7016.477762212752,7150.276356480529,7347.057808963051,6789.7518313302635,7143.686560395363
7156.645318873118,6805.8778390794505,-7364.338269897067,7010.778368966199,7128.444888731414,7366.1369357464855,6799.422080924669,7144.617847508917
7135.757687355937,6808.161201709255,-7356.461807483933,6989.234359075062,7137.2737520393275,7371.884808180288,6792.179574579038,7117.186283133409
7129.776494914428,6799.302343820546,-7370.3508745894615,7009.00978445004,7132.412341759868,7394.2281070035315,6804.774895044307,7123.466910145275
7125.025902402414,6810.908099359755,-7363.333083375352,7033.048124166191,7142.885884699972,7391.421602415999,6813.170689794775,7166.811701908774
7128.528256163374,6801.878682723087,-7370.228567646805,7009.71060074593,7141.237501999015,7368.120308055751,6824.476445734294,7178.803468686478
7151.217803089302,6811.261928735114,-7384.112211159344,6994.501286171281,7157.945998325377,7368.383635759404,6790.514086659553,7174.24634022089
7145.684216854822,6822.90691948523,-7361.688819886149,6999.982474895771,7151.102310637366,7365.817092977427,6752.184813742696,7196.095054913186
7153.990047476848,6813.706407389135,-7364.297799065971,7020.809187835355,7142.202558717972,7377.77474425125,6753.140011746258,7181.347329508387
7150.562134695288,6806.209186857337,-7371.499507140736,7017.314910613859,7156.273882178936,7363.465115847498,6771.525222000518,7163.08631435021
7140.40501685107,6792.216558010855,-7352.148584651857,7036.37606897737,7152.4995107623035,7371.848596948843,6788.346350104892,7181.398613312306
7135.9532051587585,6797.84845024239,-7350.439151543294,7010.379086685057,7165.582141875599,7366.852008207969,6816.63604001002,7180.454906365073
7149.047626542073,6818.812542485965,-7369.7360592910245,7032.632370972192,7155.854436190752,7373.188738148589,6802.8328423754865,7142.928951602778
7133.486753116028,6786.427926946118,-7366.255086700522,7033.8278405201245,7152.737567227236,7356.415392017017,6780.340396316022,7163.070675430356
7142.232722521978,6791.11474796779,-7357.449179418869,6996.446916470173,7135.010908292219,7353.040034593279,6771.658303414561,7149.80401211293
7155.805747794423,6791.313403925746,-7353.647701607369,7002.204316492431,7146.653443131645,7347.647985924597,6749.138594146435,7120.613710918137
7156.46075814108,6776.9805014797885,-7351.041928147544,7022.495905413108,7125.282297925872,7360.247084873075,6747.391852721032,7141.745179781244
7156.90813224804,6772.419768176831,-7345.6405181746,6997.8620581710275,7120.196178734042,7360.765766740027,6738.754689772813,7131.733044806776
